INFO 2019-04-23 03:14:05,935 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 03:14:05,941 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:05,955 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:05,958 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:05,973 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:05,993 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 03:14:06,972 basehttp 124 "GET /register1 HTTP/1.1" 200 4525
INFO 2019-04-23 03:14:07,002 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 03:14:07,020 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 03:14:07,023 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:07,025 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:07,028 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 03:14:07,042 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 03:14:07,056 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
WARNING 2019-04-23 03:14:20,834 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-04-23 03:15:00,733 basehttp 124 "GET /register1 HTTP/1.1" 200 4525
INFO 2019-04-23 03:15:00,777 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 03:15:00,782 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 03:15:00,823 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 03:15:00,835 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 03:15:00,842 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 03:15:00,848 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 03:15:00,866 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
WARNING 2019-04-23 03:15:01,070 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-04-23 03:16:13,986 basehttp 124 "GET /register1 HTTP/1.1" 200 4525
INFO 2019-04-23 03:16:14,066 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-04-23 03:16:14,075 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 120
INFO 2019-04-23 03:16:14,078 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-04-23 03:16:14,096 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-04-23 03:16:14,107 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2019-04-23 03:16:14,177 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 9786
INFO 2019-04-23 03:16:14,188 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
WARNING 2019-04-23 03:16:14,351 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-04-23 03:16:14,367 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-04-23 03:16:14,373 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2019-04-23 03:16:14,373 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2019-04-23 03:16:14,898 base 152 Not Found: /favicon.ico
WARNING 2019-04-23 03:16:14,900 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2284
INFO 2019-04-23 03:16:53,041 basehttp 124 "GET /register1 HTTP/1.1" 200 2888
INFO 2019-04-23 03:16:53,087 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 03:16:53,090 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 03:16:53,099 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
WARNING 2019-04-23 03:16:53,254 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-04-23 03:26:16,127 basehttp 124 "POST /register1 HTTP/1.1" 200 2905
INFO 2019-04-23 04:04:50,730 basehttp 124 "POST /register1 HTTP/1.1" 200 2905
INFO 2019-04-23 04:04:50,760 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 04:04:50,764 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 04:04:50,779 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 05:59:08,966 basehttp 124 "GET /register HTTP/1.1" 200 4542
WARNING 2019-04-23 06:01:15,267 base 152 Not Found: /register2
WARNING 2019-04-23 06:01:15,271 basehttp 124 "GET /register2 HTTP/1.1" 404 2275
INFO 2019-04-23 06:01:20,258 basehttp 124 "GET /register HTTP/1.1" 200 4542
WARNING 2019-04-23 06:01:24,017 base 152 Not Found: /register2
WARNING 2019-04-23 06:01:24,020 basehttp 124 "GET /register2 HTTP/1.1" 404 2275
WARNING 2019-04-23 06:02:36,373 base 152 Not Found: /register2
WARNING 2019-04-23 06:02:36,376 basehttp 124 "GET /register2 HTTP/1.1" 404 2275
WARNING 2019-04-23 06:02:37,723 base 152 Not Found: /register2
WARNING 2019-04-23 06:02:37,725 basehttp 124 "GET /register2 HTTP/1.1" 404 2275
WARNING 2019-04-23 06:02:37,939 base 152 Not Found: /register2
WARNING 2019-04-23 06:02:37,941 basehttp 124 "GET /register2 HTTP/1.1" 404 2275
INFO 2019-04-23 06:03:15,162 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:15,203 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:15,206 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:15,221 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:15,224 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:15,236 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:15,239 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:15,243 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,680 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:17,718 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,721 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,723 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,738 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,741 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,762 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:17,767 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,125 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:18,160 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,163 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,177 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,182 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,186 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,196 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,216 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,546 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:18,587 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,590 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,592 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,594 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,600 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,610 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,630 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:18,990 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
